isbn,similar_books
0448095025,"0448095041,044809505X,0448095068,0448095017,0446613150,3548256740,3462032208,0061044539,0553240455,0373028768"
0448095033,"0448095041,044809505X,0448095025,0345394380,0448095017,0451458125,0451180224,0451209850,0446323861,0380731207"
0448095041,"0448095025,0448095068,044809505X,0448095017,0448095033,0590997343,0451209850,0670899771,0590440616,059049418X"
044809505X,"0448095025,0448095068,0448095041,0671643983,0448095033,0671465430,0671869094,0312963211,0440156998,0448095017"
0448095068,"0448095041,044809505X,0448095025,0448095017,0451209850,0670899771,0743240855,0060229357,0312287712,0140252738"
0448095076,"0590502077,0590494309,0448095424,0070064547,0590224735,1853261165,0451194721,0380726289,0140340203,0553803077"
0448095424,"1853261165,0380752298,0448095076,0441010296,006053821X,0553573411,0553568884,0553213202,0679742565,0679738290"
0448405202,"0671731661,042517428X,0061030201,0553575252,0394575741,0553287397,1558747478,0380791021,1551668807,0446602566"
0449000184,"3498016709,3548256740,0425156028,0486424634,0553578936,0061044539,0440122961,0449147657,0330282565,0312979649"
0449000265,"0765345889,0670031925,0440204739,0767906543,0553582267,0312287682,0425184285,0767901592,0811828964,0812570219"
0449000613,"0449207463,0812583418,0440211921,0312984618,0449217426,0380713608,0590494368,0671868314,0425110931,0804111332"
0449000869,"0451196864,0553581503,0345333578,0743489063,1551668114,0449003183,0449223507,0385495404,0515115029,0449224392"
0449000877,"0061008109,0425050017,0515104191,0671556657,044020254X,0553253360,0345434765,0553142003,0553561367,0671799312"
0449001016,"0375701524,0449911217,0060933429,0425168697,1573221562,0373250460,0425179648,0805073337,0060925493,0743203232"
0449001245,"0345292340,0553566075,044021808X,0425156028,0345374797,3462032208,0486424634,0330282565,0373028768,0553240455"
0449001725,"0380727544,0345310799,0553273108,0449209598,0451181395,0380732211,0446363170,0449213323,0312962444,0449206181"
044900192X,"0380722291,0445403470,0743431006,0312974205,0894801996,0330284142,0375703829,0679753117,0002251760,0805051309"
0449001946,"0553262564,0553251139,0515107476,038529932X,0451204115,0515103977,0515117420,0061093580,0380808315,0451166884"
0449001954,"0451185277,3764501782,3462032208,3498016709,3803112133,044021808X,0061044539,0373028768,0446613150,3548256740"
0449001962,"0380569523,042511872X,0440211921,055358135X,038070384X,0786889349,0345374762,0312955510,0345385764,0394543971"
044900211X,"0440225345,0440235081,0553575058,0061098019,0061096857,0425173534,0446608092,0449002128,0515132624,0451185994"
0449002128,"0515132624,0312979525,044900211X,0515117153,0440225345,0553575058,0440173507,067972267X,0061098019,0373262361"
0449002411,"0843950552,0451170822,0451404238,0446608270,059043280X,0385501404,0671015176,0671873164,0373835353,0380758377"
0449002551,"080411952X,0804119716,0821766392,0804119724,0373835515,0804119708,0758205511,0778320790,044022389X,0345462270"
044900256X,"0345462270,0373273134,080411952X,0515119482,1551665921,0804119538,0449002551,0804120013,0373483317,037322365X"
0449002632,"0446605786,0743489063,0804102988,0380704161,067101921X,1582342695,0451197127,0394854438,0399149635,0451185978"
0449002640,"0446527289,0440122961,3498016709,044021808X,0446613150,0061044539,3462032208,0373028768,0449147657,0449004503"
0449002985,"0345403339,0345442741,0060176075,0452279488,0446529001,0449215946,0312926057,0449003701,0380725576,1565124057"
0449003132,"0061008109,0345310799,0553273108,0449148408,0070064601,0425050017,0449209598,0446600989,0380726254,0671556657"
0449003183,"0449000869,0743489063,0449223507,0394854438,0451196864,0843952202,0440119383,0821763415,0449220710,0671873164"
0449003299,"038073267X,0515113719,0380726246,0380724987,0380817691,055357230X,0449003302,044023476X,0875962955,0380724979"
0449003302,"0553291009,0345441702,055329170X,3498016709,0345374797,0440122961,0330282565,031298376X,0553578936,0345311779"
0449003701,"0380725576,0345442741,0060176075,0452279488,0446529001,0449215946,1565124057,0399149368,0345440137,0449002985"
044900371X,"0446524999,0764222511,067976657X,0394701577,0684873893,0449132064,0373708122,0804114609,0684863871,0679435549"
0449003787,"0449221482,0449221490,0449219461,0449221512,0679428887,0380726246,0553572024,0345362667,0451192613,0553284789"
0449003795,"1582342695,0425192725,0446607401,0380711524,0449221504,0553271636,0449219364,0446524999,0451184734,0812534417"
0449003884,"0671731661,0553575252,0061030201,042517428X,0394575741,0553287397,0380791021,0380789353,0451409892,1551668807"
0449003981,"0399149368,0449910571,0804108862,1573225487,1552781542,0345374797,0553578936,0446613150,0151885338,031298376X"
0449004287,"0670031925,0688172377,0375414290,2895400644,1594480001,0440208416,0743448189,0375422307,0449911659,0140361219"
0449004503,"3803112133,3492225926,3764501782,031298376X,3548256740,0553240455,0486424634,0061044539,0330282565,0345311779"
044900483X,"0449912558,0345384903,0140274782,0684802031,0425161633,037570731X,0399149368,067972754X,0553107755,0060929979"
0449004856,"0449207439,0449222586,0373706847,0380818760,0553575066,1551666006,0373226411,0553270184,0373291396,0373292554"
0449004864,"0399147330,0312977301,0505524848,0505525224,0553584219,0060529466,1551666588,0380818965,0345464982,0449004864"
0449005410,"0385495439,0451082028,0679463135,0375713549,0312198647,1571430148,0452261848,0312252803,0375501959,0671686151"
0449005569,"0765345889,081296683X,0440204739,0767906543,0553582267,0373250258,0312287682,0375760628,0373250266,0425184285"
0449005577,"0345385942,0345433106,1551664461,0451192931,0451181395,0061043966,0451202252,0373262485,1573228184,0451182960"
0449005615,"0385310161,0515134864,0451196864,0140122060,0553581503,0140256369,0375701907,0140314202,0312961731,1573227889"
044900578X,"0812513010,0553278363,0671504398,037540273X,0765342529,0395926882,0440204798,038072099X,0679435271,067976268X"
0449005828,"0446323268,0743489063,0553290991,0449224392,0394854438,0812524713,0345330129,0451196864,0843952202,0821763415"
0449005836,"0553287303,0451401492,0515122858,0061042781,0451404238,0812512456,0515121959,0440234972,0515120626,0553109944"
0449005844,"0373706448,0451183193,0446602558,0373706898,0373710291,037370707X,1551668521,037329011X,067103412X,0446364290"
0449005852,"0515119482,1551668858,0671731661,0553575252,042517428X,0061030201,0446610852,037329087X,0373483287,0373242026"
0449005895,"0821767984,0312966210,0671731661,042517428X,0553575252,0061030201,0515119482,0394575741,0553287397,0380791021"
0449005909,"0812571789,0061008117,0064405788,0553289063,3803112133,3548256740,3462032208,044021808X,0446613150,0449147657"
0449005925,"0743489063,0394854438,0451196864,0843952202,0821763415,0449220710,0671873164,0553581503,0671786113,0345440064"
0449006344,"0671039946,0553204343,0140259112,0671884484,0373226802,0440224810,0440206529,0451410580,044021808X,0449004503"
0449006379,"0804119732,0380776162,0373706847,0449207439,0449222586,0312968930,0380818760,0380803305,0553575066,0060505249"
0449006522,"067101675X,0553272616,0440194903,0671039946,0061094234,0553258648,0786012374,0553571850,0671884484,0449006530"
0449006530,"0821770195,0201632950,0425176169,0061008109,0553289063,0449223442,0446356603,0515106070,0451410750,0425095576"
0449006557,"0449217124,0385721811,0064400999,0671015311,0684853302,0064400972,0060007575,044990542X,0553575260,0894801406"
0449006565,"0449212858,0345440048,0449005925,0515117153,0671643983,1853262102,0440173507,067972267X,0671869094,0312963211"
0449006581,"0066213673,0449243346,1558533311,0679405135,0385499833,0312313829,0345452771,0440225108,0804119120,0553581112"
0449006832,"0373790295,0821762818,0373835973,1551660253,0373790260,0380813017,0821767747,0505523302,0380805685,0373483546"
0449006840,"0380811073,0804120021,0380819732,0380811065,0060549270,0425192768,0505524228,0778320219,0312982623,0380819600"
0449006883,"0451183681,0451154460,0380791269,038056176X,1568654073,0451185110,0671690566,0451190750,080501084X,0425097269"
0449007251,"0061001058,0671868071,0380978202,0066212855,0553579835,0425158632,0385491026,0425179613,0380788756,0679444815"
0449123782,"0380521830,0449244172,0743247752,0345365208,0684813076,0670850535,0375508546,0440237033,0425115291,0446600547"
044912505X,"3803112133,3548256740,3462032208,0061044539,044021808X,0440122961,0425156028,0151885338,0553240455,3492225926"
0449125092,"0449143457,0449144410,0812544706,0571146333,044021775X,0425111830,0425143066,0425137945,044912505X,0345296532"
0449128288,"0399143823,0893757071,0449219550,0425155722,0425171884,0425146413,0553211285,0380725835,0440202043,0425133540"
0449130673,"0440180953,0804108692,0449147606,0385334834,0380006456,042515517X,0553272225,0425177068,0553278002,0425162591"
0449130703,"055305340X,0671502549,0345330145,055357289X,0345300556,0812521269,0553561405,0553266055,0786918055,0553572857"
0449131793,"067167269X,0440209358,0394543963,0679428887,0553213342,0865470545,0688094082,034542252X,0449212629,0679889310"
0449131904,"0553213385,0553260197,0440153166,0553138286,0425083896,0812574966,0446301302,0449214206,0679737898,0425141551"
0449132064,"038071681X,0671532855,0446517984,078688598X,0671726730,0812566645,0312289510,044022392X,0553562398,0385301499"
0449134369,"950491036X,8845205118,8817125539,8807813025,8806143042,8495618605,849550152X,8495501198,8495501090,8495359537"
0449134482,"0380733358,0515121207,0590494368,0425110931,0449208885,0671868314,0425129632,0802139868,0812521463,0553572423"
0449143457,"0449125092,0449144410,0571146333,044021775X,044912505X,0345296532,0786865482,0876120796,0380708566,0345309049"
0449144410,"0449143457,0449125092,0571146333,044021775X,0345341201,044912505X,0345296532,0786865482,0876120796,0345457374"
0449144763,"0446323268,0380841940,0441748600,0553290991,0373152655,0671744666,0345330129,0425093328,0374184232,0441132456"
0449146138,"950491036X,8845205118,8817125539,8807813025,8806143042,8495618605,849550152X,8495501198,8495501090,8495359537"
0449146383,"0425087395,0441009867,0449148041,0380720876,0345414942,0380720884,0761122745,0671721720,0028604032,0765347539"
0449146391,"0061096253,0449219380,0312961731,0425068099,0886776376,0553298860,0671738283,0380802449,0449223507,0553577565"
0449147282,"0440151414,0786889446,0671643983,0446346802,0380569523,0688156134,0449219089,0671869094,0312963211,0804118558"
0449147606,"0449150046,0486266893,0449130673,0440209358,0671629980,0679738290,0445409029,0553268473,0061053309,0671867873"
0449147657,"3803112133,3492225926,3764501782,031298376X,3548256740,0553240455,0486424634,0061044539,0330282565,0345311779"
0449147738,"0061041742,0553573225,1551666898,0449148378,038076654X,1551669099,0743202562,0812544420,0451211014,0743453476"
0449148041,"059043280X,0425087395,0345336615,0380758377,0812519671,0671702440,0451821114,0061057088,0440984459,0345272595"
0449148246,"0449219089,0671554271,0553577778,0449215024,038071082X,0380710846,0671836927,0156027607,0553238000,0380710838"
0449148378,"0671731661,0061030201,042517428X,0553575252,0394575741,0553287397,0449147738,0061041742,0446329894,0671743783"
0449148386,"0886778581,0380818213,0451521951,0671722816,0440216745,0743411269,0373483694,0060509465,0671568175,0553212583"
0449148394,"0449215024,0449219089,3492225926,0425156028,3764501782,3498016709,0449147657,0486424634,0330282565,3462032208"
0449148408,"0671643983,0671465430,0449213323,0312928408,0449213730,0449003302,0345310799,0671543296,0553273108,0061044539"
0449148718,"0345309049,0449909549,0684814897,0380791382,0192815970,0451156234,0425156710,0553213806,034536998X,0671722778"
0449149056,"0449208400,0553574132,0441662536,0553297996,0553577565,0671721631,0553564684,0440235758,0441006582,067174559X"
0449149080,"0671731661,0553575252,0061030201,042517428X,0394575741,0553287397,0380791021,1551668807,0446602566,0821771477"
0449149099,"0671731661,042517428X,0061030201,0553575252,0394575741,0553287397,0380791021,1551668807,0446602566,0312982208"
0449149382,"0446674931,0671892673,0385720483,0060972009,0393319504,0767902831,0345427025,0156007819,0425183238,0786884622"
0449149560,"0425143066,0449216284,0446602485,0425133990,0451195507,0061092533,0486275507,0486264661,0425137945,0786889837"
0449149676,"0449147738,0312971842,0812590449,0061099473,0061041742,0451130987,0440202493,0451405919,0449006344,0515121827"
0449149900,"0451193261,0451177029,0380786680,0312955731,0590213113,0671003119,0345428285,0061031542,0064405788,1551668920"
0449149986,"1575663708,0804113343,0312982895,0743489063,0671643983,0380773813,0380793660,1575662191,0804118558,0671869094"
0449150046,"0449147606,0486266893,0440209358,0679738290,0553268473,0061053309,0679757899,0440168899,0671898264,0553560980"
0449150178,"0060738197,0671002783,0375704965,1551666189,044918336X,0786886463,0385336810,1400030927,0671880608,0441000916"
044918336X,"0679738290,0553577565,0449208400,0671721631,0440235758,0486266893,0440235715,0440209358,0553268473,0312957890"
0449200221,"0553141406,3462032208,3764501782,3803112133,0061044539,0553240455,0446613150,031298376X,0373028768,0449147657"
0449200248,"0061014788,0451821114,0440202485,038070384X,0440202477,014019536X,0440202558,0385334672,0312926294,0452261341"
0449202623,"3498016709,0330282565,0449004503,0151885338,3548256740,0373028768,031298376X,0553578936,3764501782,3492225926"
0449202631,"0449212408,0449212653,039913414X,0440119383,0812507916,0449211991,0451186346,0449245004,0394717740,0449213145"
0449202704,"0312969414,0671679473,0440107601,0886776481,0671824813,0671868098,0515121487,038000772X,039913414X,0451198476"
0449203425,"950491036X,8845205118,8817125539,8807813025,8806143042,8495618605,849550152X,8495501198,8495501090,8495359537"
0449203794,"0449148041,0590222961,0394564324,0380645432,3498016709,059043280X,3803112133,0449147657,0345374797,0373028768"
0449204324,"0553239813,0449143457,0449144410,0440209358,0446522252,0394543963,0679428887,0553213342,0865470545,0688094082"
0449204553,"0590448188,0312961308,0553268120,0312925271,0449004503,0345311779,0553578936,0425156028,0446613150,0373028768"
0449205029,"0515124281,0671027972,0061099279,0553264990,0451522753,0380758881,0553263528,0449206181,088396631X,0440208289"
0449205061,"014032870X,0140366709,0553024248,0425165140,0553210599,034531221X,0440114330,0307302016,042508003X,0451524209"
0449205193,"0671664859,0445405627,0684867672,0385482493,0452261341,0425164829,0553254510,0380761327,0395257301,0800783360"
0449205436,"0590460994,0590460463,0394848365,0440440629,0060176083,0451194721,0440986591,0684857340,014032870X,0671798324"
0449205878,"0316952664,044636214X,0140149902,0743421566,0449211584,0330269828,0061096644,0553258478,0449147657,3492225926"
0449205967,"0812521668,0449209164,0425185702,0553380966,0671679473,0440107601,0671824813,0886776481,0451451600,0380703149"
0449205975,"950491036X,8845205118,8817125539,8807813025,8806143042,8495618605,849550152X,8495501198,8495501090,8495359537"
0449205983,"950491036X,8845205118,8817125539,8807813025,8806143042,8495618605,849550152X,8495501198,8495501090,8495359537"
0449206181,"0515124281,0380727544,0449205029,0451181395,0061099279,0449212653,0553264990,0449001725,0451522753,0380758881"
0449206211,"0515124281,0671643983,0449205029,055320663X,0449213323,0671869094,0312963211,0449219399,0440156998,0671795678"
0449206246,"0679767185,0671463195,0141001534,0553117084,1551667940,002089130X,0812521331,044100069X,0451184149,0060508183"
0449206440,"0449206467,0553298054,0440482569,0486266842,0449206459,0307020223,0451454146,0425130894,0385489935,0671653989"
0449206459,"0486266842,0451192613,0451454146,0812532236,0671744062,0374173273,0812550749,0061098027,0486270718,0671704648"
0449206467,"0440482569,0486266842,0449206459,0425130894,0449206440,0385489935,0671744585,0451454146,0451402626,0440211352"
0449206475,"0679407111,0671632663,0553250728,0449218422,0425070190,0316184152,193072229X,0451166361,006109692X,0380793474"
0449206610,"0380713829,0440212200,0812589823,0399147322,0380720477,0425060772,0399146180,0061011738,0449212661,0380712040"
0449206874,"0345272552,0380729865,0449219089,0312963130,0671877445,0671554271,0380713284,0886775957,0671015311,0226500578"
044920703X,"067167269X,0449244172,0380521830,0060927941,0380817160,0743247752,0312928408,0345365208,0312926057,0684813076"
0449207145,"0385294166,0486270696,0395585643,0449207757,0671891529,0670825379,0140244883,0345346297,0553204769,0312983387"
0449207269,"0451522222,0140092501,0140092323,8495501198,8495501090,8495359537,8483101610,8478886451,8478884955,8478884459"
0449207331,"0060617519,0312923120,0446605891,0380710897,0385319851,0684195569,042516313X,0915230151,0140045295,0451192311"
0449207439,"0449207439,0449222586,0380818760,0553575066,0373226411,0553270184,0373291396,0373292554,0449004856,0373289936"
0449207463,"0812583418,0440211921,0312984618,0449217426,0380713608,0804111332,0446327069,0440202515,0671786466,0451522753"
0449207544,"0061041998,0312961731,0373290306,044922368X,0451113357,0373201346,0451150244,3803112133,0449004503,0425156028"
0449207552,"0590440616,0590386336,0590997343,0449245004,0385495404,0380700247,0312979649,0345374797,0553578936,0151885338"
0449207595,"0517595745,0684854422,0449215296,0140131566,0440159008,055321246X,1558533311,092007944X,1558745629,0609600745"
0449207668,"0449214427,0449219593,0449211681,0449208672,1582342695,0449210952,0449209997,0449219143,0440204925,0449219615"
0449207757,"0449245691,0395585643,0060809736,0440238137,0312967004,0449207145,0395353009,0849911796,0671749609,0805055908"
0449208109,"0375403736,044021808X,0553240455,0312979649,0446613150,0373028768,3764501782,3492225926,0449147657,0486424634"
0449208133,"0345323440,0345320654,0671741926,0886774691,0061000019,0060176164,0440209358,0064402754,0553282093,0394543963"
0449208281,"0375503943,3764501782,3492225926,3498016709,0373028768,0330282565,044021808X,0345311779,0345374797,0440122961"
0449208346,"0671727125,0590568892,059043280X,0380758377,0671891529,0811816753,0671046160,0671702440,0807593664,0590108395"
0449208397,"0373872046,0425149404,0553287575,0449209377,0553212184,0553154214,0517595745,0373872186,0553284657,0871234017"
0449208400,"0486266893,0553577565,0671721631,0440235758,0679723420,044918336X,0440235715,0449149056,0679419829,0449147657"
0449208672,"0449214427,0449223507,0449207668,0449211681,0449210677,0449224392,0449210952,0449209997,1853260320,0449000869"
0449208885,"0486406482,1860462588,0449214540,080213422X,0451177010,0553571591,0553251139,0394751019,0060951303,0380802317"
0449209105,"0312977433,0449219089,0671554271,0373711484,0553577778,0449213447,038071082X,0843950900,0380710846,0671836927"
0449209121,"0553298186,1853260436,0449212629,0380564998,0689713703,067162461X,0449208281,055338015X,0345409639,0679728899"
0449209164,"0553208225,055314717X,0812521668,1551666855,0671004395,0380008319,0449205967,0553574132,0553297996,0553380966"
0449209377,"0373872046,0679407111,0553250728,0671632663,0449218422,0425070190,0316184152,193072229X,0373872186,006109692X"
0449209598,"0345310799,0553273108,0451405919,0449219372,0380732211,0449001725,0380720248,0446363170,0449213323,0449207463"
0449209695,"0425062856,044636214X,0451171845,0671721542,0671635743,0345272463,0451454081,0553240307,0425147231,0671836927"
0449209709,"0553282093,067941388X,0373710933,0425067645,0345388232,0425182681,0399141855,0399137769,0345388216,0394584082"
0449209733,"0380709910,0553298054,0451526996,0440351839,044922502X,0345452062,0140430032,0553271644,0375505148,0312957572"
0449209830,"0553577565,0671721631,0440235758,0440235715,0440119383,0345274695,0812507916,0671745093,0060099089,0878575103"
0449209997,"0449211681,0449214427,0821733621,0449212858,0515117153,0449210952,0440173507,0425087778,0446353256,067972267X"
0449210189,"0812545508,0425115291,0345336194,0590997297,0590442449,0425161994,0439061644,068480753X,0425158608,0671792814"
0449210375,"0553280422,0553055739,0449219089,0449221121,0061097934,0375422188,042519065X,0399137769,0425143503,0515126098"
0449210677,"1551663058,0345319672,0380811812,0671643983,1558744215,0671869094,0312963211,1853261912,0060931280,0440156998"
0449210820,"0684841363,0380000490,006103083X,0812925300,0140006680,0684869241,0743431022,0451410718,0786865482,0873523792"
0449210928,"0060192356,0394564324,0312963815,0553258990,0446603961,0449234940,0440226457,0446520950,0061032077,0671522647"
0449210952,"0590460994,0590460463,0449209997,0394848365,0440440629,0449214427,080411188X,0440119383,0449207668,0515117153"
0449211096,"3492225926,0425156028,3498016709,044021808X,0061044539,0440122961,0373028768,0449147657,0449004503,0446613150"
0449211479,"052594642X,0671660187,0449211584,0394564324,0385493002,0449243583,0140083871,0449221873,0060192356,0060956860"
0449211584,"0517592576,0345325680,0440121353,0553258478,0449205878,0394564324,0553278363,0812513010,0449211479,0345257170"
0449211681,"0449209997,0821733621,0449214427,0449207668,1582342695,0449208672,0446353256,044040665X,0060391502,0449230694"
0449211738,"0931432146,0517584212,0451410408,0385319002,1400060117,042516828X,0060938455,0786881852,034541389X,1558743316"
0449211827,"0670878812,0375403736,0515117153,0385491050,0440173507,067972267X,0373262361,0553571729,0804109176,0151327653"
0449211991,"0380690969,0449202631,0449212408,0449212653,0449217205,0449207552,0440119383,0440209358,0394543963,0449223450"
0449212084,"0449244679,0440234719,0451405919,3764501782,3498016709,3492225926,3462032208,031298376X,0312979649,0449004503"
0449212378,"0425110931,0590494368,0671868314,0671525794,0671868098,0452281091,0449243672,0375414576,0553564994,0446610968"
0449212394,"0449245004,0451197860,0373764677,0440119383,0373272308,0373272243,0440153271,0812507916,0373152655,0449202623"
0449212408,"0449202631,0449212653,0440119383,0812507916,0449211991,0449219615,0451186346,0449245004,0394717740,0440141818"
0449212602,"0812574621,0449245691,0553136283,0312261780,002026478X,0425176088,0451405498,0553210165,0671646575,0804108889"
0449212629,"0553256971,0451194586,0440209358,0394543963,0399138161,0679428887,0553213342,0865470545,0688094082,0449131793"
0449212653,"0451186346,0061091715,0553256211,0449202631,0449212408,0399147322,0449211991,0449217205,0515116173,0449206181"
0449212661,"0345272552,0425176118,0373262361,0380713829,0380729865,0440212200,0812589823,0399147322,0380720477,0449217191"
0449212750,"0515124281,0553250728,0679407111,0345394380,0671632663,1558538445,0449205029,0449218422,0425070190,0380731207"
0449212858,"0425087778,0515117153,0449209997,0449006565,0440173507,067972267X,0373262361,0553571729,0804109176,0151327653"
0449212882,"0679741836,0812507371,0786861827,0375757147,0525945725,0517556278,044022103X,0684865742,0451166892,0425167313"
0449212963,"0061059889,0812540123,0061056006,0061056014,0758201516,0061056022,0425193071,0445409169,0312970617,1575667215"
0449213013,"0300048599,0812508327,0446604208,0140049401,0140124454,0312961006,044661100X,0380751925,0312156960,0060738197"
0449213145,"0440234719,0451405919,0486424634,0330282565,0312979649,0061044539,0440122961,0345374797,3498016709,3764501782"
0449213188,"0743489063,0394854438,0451196864,0843952202,0821763415,0449220710,0671873164,0553581503,0671786113,0380732343"
0449213323,"0515124281,0345310799,0553273108,0449209598,0449148408,0671643983,0449219372,0449205029,0380732211,0440221919"
0449213358,"0451196864,0553581503,0590222961,0345333578,1551668114,3548256740,3492225926,3498016709,0446613150,0373028768"
0449213447,"0449209105,0449219089,1571430148,0140276432,0486280616,0449150046,0671741454,0671554271,0812516001,0385294166"
0449213714,"0385301413,0486272788,0345388526,0345406141,0486266885,0345388666,0345389980,0345384687,0765108674,0345390407"
0449213730,"0449215024,0449148394,0671750127,0451128559,0446363073,0679428887,0804115400,0394530152,0449209598,1551664364"
0449213757,"0140430040,0312980191,0743444078,0140317937,0451210840,0312957890,0140366660,0571142745,0451410319,0743201647"
0449213765,"0812515617,0812507452,0373289448,0679759328,0373707649,0375704558,3492225926,0061044539,0373028768,0553578936"
0449213773,"0452279690,0812531108,0373289448,0373707649,0812515617,0345330129,0812521501,0765340054,014027944X,0061020672"
0449213803,"0061032069,0812513010,0553278363,0761122745,0373250169,0684856220,0439313899,1551668920,0373511892,0345469674"
0449213943,"0449244172,0380521830,0743451414,0330282565,0553578936,0151885338,0345374797,3803112133,3492225926,3462032208"
0449214176,"0060920475,0373289448,0373707649,0452261848,0812515617,0812521501,038533494X,0679742565,0061020672,0449213765"
0449214192,"0590997297,0590442449,0439061644,052594642X,0553292714,0451184742,0385335164,0446303011,0590414275,0671456857"
0449214206,"0553213385,0553260197,0449131904,0440153166,0425083896,0812574966,0812513010,0553278363,0812505042,0380017555"
0449214265,"0804116571,044095777X,0449214540,0515119210,3442429552,0440957761,0140620753,0140430164,1573221562,042514755X"
0449214362,"0345358031,0345420438,0449217280,0812509145,0553297422,042515517X,0515126497,0449219089,0671019929,0380731215"
0449214427,"0449219143,0449209997,0449208672,0449224392,0449211681,0449207668,080411188X,0449210952,0312156960,0375502548"
0449214540,"0449208885,0451163494,0553251139,3548256740,0151885338,0446613150,0373028768,0449147657,0553240455,031298376X"
0449214923,"0609801279,014039012X,0140295569,2253057843,2234054036,0684822776,0671746723,0345418018,0451518640,0451522222"
0449214931,"0451194721,0486401588,0553213601,0486275426,0671733354,0486275639,0553210416,0060923415,044020352X,0517576988"
0449214982,"0061043494,0679419152,0786888083,0812580346,0767906632,0061092738,044990864X,0671695185,0060080841,0060176164"
0449215024,"0449213730,0449148394,0671750127,0451128559,1551664364,0449148246,0449219089,0446613150,3803112133,3548256740"
0449215156,"0380731959,0486266893,1582342695,0553269305,0440209358,0679738290,0553268473,0061053309,0679757899,0440168899"
0449215237,"0451405919,0060094397,0515130095,0440224012,0380720248,0515107476,0061093920,0515114863,0804111634,0515103977"
0449215245,"0679736727,0345312015,0380769840,0060977027,034539044X,067164159X,0061007145,0140122060,0060977035,0679728759"
0449215296,"0449207595,0449244172,0586026193,037370786X,0590568892,0373711379,0380521830,055357857X,0440150167,0373707886"
0449215482,"0373290306,0821756389,0394536746,006018650X,0345373294,0385315066,0440121353,0061041998,0425087832,0373153279"
0449215571,"0061012513,8495618605,849550152X,8495501198,8495501090,8495359537,8483101610,8478886451,8478884955,8478884459"
0449215946,"0345442741,0060176075,0452279488,0446529001,0380725576,1565124057,0399149368,0345440137,0345403339,037541388X"
0449216284,"0449149560,0425143066,0373226373,0373291574,0446605298,0446602485,0425133990,0380817837,0061092533,0486275507"
0449216411,"0801957729,0451200861,0821772252,0449225313,0385499825,0446613061,0142000329,0140276432,0451205758,0060812494"
0449216527,"0451150317,0394578198,0140233903,0440204232,0553282204,0425114236,0449222276,0449206181,0140147551,0451160916"
0449216861,"0449223507,0425176088,0440168899,0553231081,2290318329,0425087778,0140019421,0449217124,0385495404,0440119383"
0449216977,"0440411564,1551664917,0679731156,0440205085,038071681X,0380776162,0345365399,0894806319,0553272055,0894801406"
0449217124,"0590494368,0671868314,0425110931,0449006557,0385721811,0064400999,0671015311,0684853302,0064400972,0060007575"
0449217191,"048629899X,0345272552,0060012897,0380732343,0312246560,0380729865,0375407340,0804113831,0553055739,0425124819"
0449217205,"0449219569,0449212653,0449211991,0425118312,0515116173,0061091715,0449207552,0425156028,0330282565,3462032208"
0449217264,"0590442449,0590997297,059043280X,0449243761,0380758377,055314717X,0439061644,0671702440,0451200284,1551666855"
0449217280,"0449214362,0812509145,0553297422,042515517X,0515126497,0345358031,0671019929,0380731215,0380731193,0425109240"
0449217426,"0449207463,0812583418,0440211921,0312984618,0380713608,0804111332,0446327069,0440202515,0671786466,0451522753"
0449217493,"0380733358,1853260061,0808520695,0553580000,0312988249,0312962118,0316809063,0061044490,0553297341,0156421178"
0449218112,"0449217280,0671887963,0440205085,0671872931,0505523876,0679732187,051510566X,0440207770,0449149056,055357602X"
0449218422,"0679407111,0553250728,0671632663,0425070190,0316184152,193072229X,006109692X,0553380400,0380793474,0553136283"
0449218473,"0425110427,0345282132,0671640127,051754489X,0671648861,0449221032,0804113831,0812575482,0553263978,0553277839"
044921852X,"0425062856,0380898179,0451171845,0671635743,0671721542,0446794031,0345272463,0440128595,0451454081,0553240307"
0449218929,"0451117611,0440142148,0449912051,0553209671,055356983X,0590568884,0451192036,0671020323,0671028022,0517593343"
0449219089,"0671554271,0553577778,038071082X,0380710846,0671836927,0156027607,0553238000,0380710838,0449148246,0679777431"
0449219143,"0449214427,1582342695,0449219593,0449224392,080411188X,0312156960,0375502548,0449217124,0380792664,0894806319"
0449219232,"0449149382,0312198647,0446674931,0671892673,0684852225,0385720483,0060972009,0393319504,0767902831,0345427025"
0449219283,"0679419810,0684867982,0439510112,0312281250,0380771292,0060558865,0764221760,0786817089,0671870998,0312872402"
0449219364,"0449219461,0553284789,0449221512,0553271636,0553279556,0553280368,0553280341,0449221504,0449221482,0449223604"
0449219372,"0449209598,0345272552,0449213323,0449213730,0451405919,0515124281,0061099279,0440234719,0671750127,0451128559"
0449219380,"0553290762,0373483112,0449146391,0440204739,0312961731,0886776376,0553297619,0553298860,0671738283,0061096253"
0449219399,"0451181425,0451405919,0449212084,0451188063,0380720248,0671552228,0061093920,0380764776,038071972X,0373288689"
0449219402,"0671643983,0671869094,0312963211,0440156998,0671795678,0451163532,0671648705,0671746081,0671684876,0425158497"
0449219410,"0449244172,0380521830,0449221180,0743247752,0679419810,0345365208,0446343455,0684813076,0425152235,0451821114"
0449219461,"0449219364,0449221512,0553279556,0553284789,0553271636,0553280368,0449221482,0449221504,0553279912,0553280341"
0449219550,"0449128288,0449214362,0440119383,0425129632,0449217280,0812509145,0553297422,0812507916,042515517X,0515126497"
